赛马娘中文名,赛马娘英语名,赛马娘日语名,赛马娘生日,三围,身高(cm),声优(cv),赛马娘特殊称号(二つ名)(中文名),赛马娘特殊称号(二つ名)(日语名),赛马娘特殊称号获取条件
特别周,Special Week,スペシャルウィーク,5月2日,B81·W56·H81,158,和气杏未,日本的总大将,日本の総大将,"在人气第一的情况下以领先5马身差以上获得東京優駿(日本ダービー)的胜利,并在天皇賞(春)、天皇賞(秋)、ジャパンカップ中取胜"
无声铃鹿,Silence Suzuka,サイレンススズカ,5月1日,B70·W53·H79,161,高野麻里佳,异次元的逃亡者,異次元の逃亡者,"在人气第一的情况下使用作战逃げ在重赏赛事中取得6连胜,其中需要包括宝塚記念,并且在该赛事中从起跑200m开始一直第一位领先直到比赛结束"
东海帝王,Tokai Teio,トウカイテイオー,4月20日,B77·W54·H76,150,Machico,帝王,帝王,"继承马取得过7次以上G1赛事的胜利;在G1赛事中有4次以上是人气第一;在无败的情况下获得皐月賞、東京優駿(日本ダービー)的胜利;取得有馬記念(第三年)的胜利"
丸善斯基,Maruzensky,マルゼンスキー,5月19日,B93·W58·H88,164,Lynn,Super Car专属,スーパーカー,"无败的情况下获得8连胜,且胜利时达成平均7马身差以上"
富士奇迹,,フジキセキ,4月15日,B84·W58·H82,168,松井惠理子,华丽的三冠赛马娘,麗しの三冠ウマ娘,"出道战以8马身差以上获胜;以第一人气取得朝日杯フューチュリティステークス、皐月賞、菊花賞、東京優駿(日本ダービー)的胜利"
小栗帽,Oguri Cap,オグリキャップ,3月27日,B82·W57·H82,167,高柳知叶,偶像赛马娘,アイドルウマ娘,"取得マイルチャンピオンシップ、安田記念、有馬記念的胜利并达到24w以上粉丝"
黄金船,Gold Ship,ゴールドシップ,3月6日,B88·W55·H88,170,上田瞳,破天荒,破天荒,"在包括皐月賞、菊花賞、宝塚記念的G1赛事中取得6次以上的胜利;粉丝数达到48w以上"
伏特加,Vodka,ウオッカ,4月4日,B76·W55·H78,165,大桥彩香,打破常识的女帝,常識破りの女帝,"在包括東京優駿(日本ダービー)、安田記念、ジャパンカップ、天皇賞(秋)、ヴィクトリアマイル的G1赛事中取得7次以上胜利"
大和赤骥,Daiwa Scarlet,ダイワスカーレット,5月13日,B93·W56·H82,163,木村千咲,Miss.Perfect,ミスパーフェクト,"继承马获取过皐月賞的胜利;所有比赛都是前2名,取得包括桜花賞、秋華賞、エリザベス女王杯在内的重赏赛事(G1、G2和G3)10次胜利"
大树快车,Taiki Shuttle,タイキシャトル,3月23日,B94·W59·H90,172,大坪由佳,最强英里跑者,最強マイラー,"在包含ユニコーンステークス、安田記念的英里重赏比赛中取得5次以上胜利,其中有1次以上是雨天;并在マイルチャンピオンシップ中以5马身差以上取胜"
草上飞,Grass Wonder,グラスワンダー,2月18日,B78·W53·H84,152,前田玲奈,不死鸟,不死鳥,"以干劲"好调"以下的状态取得朝日杯フューチュリティステークス、有馬記念(第二年)、宝塚記念(第三年)、有馬記念(第三年)的胜利"
菱亚马逊,Hishi Amazon,ヒシアマゾン,3月26日,B92·W59·H89,160,巽悠衣子,女杰,女傑,"使用作战""追込""在人气第一的情况下取得重赏6连胜以上,其中2胜以上需要达成""在最终直线超越五人以上"""
目白麦昆,Mejiro McQueen,メジロマックイーン,4月3日,B71·W54·H76,159,大西沙织,名优,名優,"取得菊花賞、天皇賞(春)的胜利;基础能力"耐力"达到1200以上;粉丝数32w以上"
神鹰,El Condor Pasa,エルコンドルパサー,3月17日,B89·W58·H86,163,高桥未奈美,怪鸟,怪鳥,"全部比赛都在前二;使用作战"先行"取得ジャパンカップ(第二年)的胜利;粉丝数达到32w以上"
好歌剧,T.M. Opera O,テイエムオペラオー,3月13日,B76·W55·H80,156,德井青空,世纪末霸王,世紀末覇王,"在包含天皇賞(春)、宝塚記念、天皇賞(秋)、ジャパンカップ、有馬記念的重赏(G1、G2和G3)中取得8次以上连胜"
成田白仁,Narita Brian,ナリタブライアン,5月3日,B91·W58·H85,160,衣川里佳,不惧暗影的怪物,影をも恐れぬ怪物,"皋月赏以3又1/2马身差以上、東京優駿(日本ダービー)以5马身差以上、菊花賞以7马身差以上获得胜利,有馬記念获得两连霸(第二年和第三年均取得优胜)"
鲁道夫象征,Symboli Rudolf,シンボリルドルフ,3月13日,B86·W59·H85,165,田所梓,皇帝,皇帝,"在无败的情况下取得皐月賞、東京優駿(日本ダービー)、菊花賞的胜利;取得ジャパンカップ、天皇賞(春)的胜利;取得两次有馬記念的胜利"
气槽,Air Groove,エアグルーヴ,4月6日,B90·W57·H86,165,青木瑠璃子,女帝,女帝,"继承马取得过オークス的胜利;取得オークス、天皇賞(秋)的胜利,粉丝数达到32w以上"
爱丽数码,Agnes Digital,アグネスデジタル,5月15日,B74·W51·H75,143,铃木实里,万能宅马娘,万能オタク娘,"赢得ジャパンダートダービー、マイルチャンピオンシップ、フェブラリーステークス、安田記念、天皇賞(秋)和有馬記念(第三年)"
青云天空,Seiun Sky,セイウンスカイ,4月26日,B77·W55·H80,155,鬼头明里,诡术之星,トリックスター,"皐月賞、菊花賞、有馬記念(第二年)、天皇賞(春)使用作战'逃げ'取胜;其中菊花賞需要从起跑200m后保持第一,直到终点"
玉藻十字,Tamamo Cross,タマモクロス,5月23日,B71·W52·H73,140,大空直美,白色闪电,白い稲妻,"赢得包含天皇賞(春)、宝塚記念(第三年)和天皇賞(秋)(第三年)在内的重赏比赛8场以上;且粉丝数240,000人以上"
美妙姿势,Fine Motion,ファインモーション,1月27日,B79·W56·H83,158,桥本千波,任性的公主殿下,気ままなお姫様,"之前无败且人气第一的状态下赢得秋華賞、エリザベス女王杯和有馬記念(第二年);其中秋華賞需以3又1/2以上的马身差获胜"
琵琶晨光,Biwa Hayahide,ビワハヤヒデ,3月10日,B93·W61·H88,171,近藤唯,胜利的探索者,勝利の探究者,"全部比赛都取得前两名;取得菊花賞、天皇賞(春)、宝塚記念的胜利;完成所有育成目标"
摩耶重炮,Mayano Top Gun,マヤノトップガン,3月24日,B75·W51·H73,143,星谷美绪,千变万化,変幻自在,"使用作战逃げ、先行、差し、追込分别取得G1的胜利"
曼城茶座,Manhattan Cafe,マンハッタンカフェ,3月5日,B73·W54·H78,155,小仓唯,漆黑的幻影,漆黒の幻影,"以差行策略赢下菊花賞、天皇賞(春)、两场有馬記念;基础能力耐力达到1200以上"
美浦波旁,Mihono Bourbon,ミホノブルボン,4月25日,B86·W54·H87,160,长谷川育美,坡道奇才,坂路の申し子,"使用作战逃げ、无败且人气第一的状态下赢得朝日杯フューチュリティステークス、皐月賞、東京優駿(日本ダービー);耐力达到1200以上"
目白赖恩,Mejiro Ryan,メジロライアン	,4月11日,B87·W57·H86,163,土师亚文,华丽强者,麗しき実力者,"在有<目白>冠名的赛马娘(目白多伯、目白赖恩等)参赛的G1赛事中至少胜利一次;取得菊花賞、宝塚記念、有馬記念的胜利;粉丝数达到24w以上"
菱曙,Hishi Akebono,ヒシアケボノ,2月27日,B99·W64·H88,188,松嵜丽,超大型赛马娘,超大型ウマ娘,"赢得安田記念和マイルチャンピオンシップ;获得スプリンターズステークス二连霸(两年连冠);且力量达到1200以上"
雪之美人,Yukino Bijin,ユキノビジン,3月10日,B80·W55·H80,156,山本希望,岩手的纯朴美人,岩手の純朴美人,"赢得盛冈竞马场的重赏比赛;赢得桜花賞、オークス、秋華賞;粉丝数达到320,000以上"
米浴,Rice Shower,ライスシャワー,3月5日,B75·W51·H76,145,石见舞菜香,漆黑刺客,黒い刺客,"重赏比赛出战23次以上,其中在人气第二以上的情况下取得菊花賞 、天皇賞(春)的胜利;粉丝数达到320,000以上"
艾尼斯风神,Ines Fujin,アイネスフウジン,4月10日,B88·W58·H84,167,长江里加,风神,風神,"以""逃马""策略赢得朝日杯フューチュリティステークス、皐月賞、東京優駿(日本ダービー)和ジャパンカップ(第三年);基础能力""速度""和""根性""分别1200以上"
爱丽速子,Agnes Tachyon,アグネスタキオン,4月13日,B83·W55·H81,159,上坂堇,超光速公主,超光速のプリンセス,"继承马评级S级以上;在无败的情况下取得ホープフルステークス、弥生賞、皐月賞的胜利;基础能力"速度"达到1200以上"
爱慕织姬,Admire Vega,アドマイヤベガ,3月12日,B85·W57·H82,157,咲咲木瞳,闪耀的一等星,煌めく一等星,"在人气第一的状态下赢得皐月賞、東京優駿(日本ダービー)、宝塚記念;战胜好歌剧、成田路、名将怒涛各三次以上"
